,광역시도,시군,pop,moon,hong,ahn
232,강원도,성북구,295866,129263.0,57584.0,66518.0
233,강원도,강북구,210614,89645.0,42268.0,51669.0
234,강원도,도봉구,229233,94898.0,47461.0,55600.0
235,강원도,노원구,374213,158167.0,67590.0,96325.0
236,강원도,은평구,317275,140180.0,60109.0,72582.0
237,강원도,서대문구,212076,93768.0,40513.0,46237.0
238,강원도,마포구,256992,117336.0,46547.0,52545.0
239,강원도,양천구,310886,133853.0,60814.0,71816.0
240,강원도,강서구,397108,175882.0,76601.0,88128.0
241,강원도,구로구,278805,121077.0,59194.0,61734.0
242,강원도,금천구,155010,67423.0,31106.0,36695.0
243,강원도,영등포구,248833,105834.0,53615.0,53994.0
244,강원도,동작구,276685,121722.0,54431.0,60305.0
245,강원도,관악구,351240,159854.0,59914.0,79495.0
246,강원도,서초구,292916,106416.0,74891.0,63977.0
247,강원도,강남구,365642,128927.0,97639.0,80201.0
248,강원도,송파구,441198,177328.0,98549.0,99018.0
249,강원도,강동구,297476,122511.0,65893.0,67499.0
250,충청북도,종로구,102566,42512.0,22325.0,22313.0
251,충청북도,중구,82852,34062.0,17901.0,19372.0
252,충청북도,용산구,148157,58081.0,35230.0,32109.0
253,충청북도,성동구,203175,86686.0,40566.0,45674.0
254,충청북도,광진구,240030,105512.0,46368.0,52824.0
255,충청북도,동대문구,236092,98958.0,51631.0,53359.0
256,충청북도,중랑구,265706,111450.0,56545.0,62778.0
257,충청북도,성북구,295866,129263.0,57584.0,66518.0
258,충청북도,강북구,210614,89645.0,42268.0,51669.0
259,충청북도,도봉구,229233,94898.0,47461.0,55600.0
260,충청북도,노원구,374213,158167.0,67590.0,96325.0
261,충청북도,은평구,317275,140180.0,60109.0,72582.0
262,충청북도,서대문구,212076,93768.0,40513.0,46237.0
263,충청북도,마포구,256992,117336.0,46547.0,52545.0
264,충청북도,양천구,310886,133853.0,60814.0,71816.0
265,충청북도,강서구,397108,175882.0,76601.0,88128.0
266,충청북도,구로구,278805,121077.0,59194.0,61734.0
