기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.1/4	합계	4,290,922	10,054,979	4,909,387	5,145,592	9,770,216	4,772,134	4,998,082	284,763	137,253	147,510	2.28	1,436,125
2019.1/4	종로구	73,914	162,913	78,963	83,950	152,778	74,536	78,242	10,135	4,427	5,708	2.07	26,981
2019.1/4	중구	61,800	135,836	66,720	69,116	125,942	61,992	63,950	9,894	4,728	5,166	2.04	22,421
2019.1/4	용산구	109,413	245,139	119,597	125,542	229,168	110,626	118,542	15,971	8,971	7,000	2.09	38,049
2019.1/4	성동구	137,247	314,608	154,011	160,597	306,404	150,287	156,117	8,204	3,724	4,480	2.23	43,076
2019.1/4	광진구	163,460	370,658	179,162	191,496	354,873	172,361	182,512	15,785	6,801	8,984	2.17	46,288
2019.1/4	동대문구	162,228	363,262	179,100	184,162	346,750	172,784	173,966	16,512	6,316	10,196	2.14	57,570
2019.1/4	중랑구	181,182	407,211	201,808	205,403	402,203	199,730	202,473	5,008	2,078	2,930	2.22	62,789
2019.1/4	성북구	188,670	450,021	217,400	232,621	438,245	212,830	225,415	11,776	4,570	7,206	2.32	68,612
